team,ast_to,drb,efg,blk,ft_rate,fouls_poss,orb_pct,tov_pct,def.ast_to,def.efg,def.ft_rate,def.fouls_poss,def.orb_pct,def.tov_pct,win.,TeamID
tulane,1.2,33,0.5,9,0.3275862068965517,0.20942408376963348,0.22857142857142856,0.17951172809956917,1.625,0.4696969696969697,0.16666666666666666,0.2627257799671593,0.13157894736842105,0.09925558312655088,1,1408
eastern-illinois,1.3125,32,0.6346153846153846,8,0.15384615384615385,0.21140052850132127,0.3181818181818182,0.21965952773201536,0.4,0.2857142857142857,0.10714285714285714,0.2022390754785121,0.1794871794871795,0.19778481012658228,1,1183
southern-mississippi,0.5,20,0.32786885245901637,0,0.08196721311475409,0.08991650610147721,0.15,0.2391200382592061,1.6875,0.7045454545454546,0.07575757575757576,0.10145846544071022,0.23076923076923078,0.1890359168241966,0,1379
florida-state,1.6875,34,0.7045454545454546,5,0.07575757575757576,0.10145846544071022,0.23076923076923078,0.1890359168241966,0.5,0.32786885245901637,0.08196721311475409,0.08991650610147721,0.15,0.2391200382592061,1,1199
presbyterian,1.7272727272727273,28,0.525,1,0.23333333333333334,0.15487504399859203,0.2727272727272727,0.13860887096774194,0.9230769230769231,0.4076923076923077,0.1076923076923077,0.2598339949476723,0.3170731707317073,0.1586139580283065,1,1342
louisiana-tech,1.6153846153846154,21,0.5769230769230769,5,0.2692307692307692,0.19395747855277878,0.28,0.1772082878953108,0.8333333333333334,0.5,0.03333333333333333,0.22237665045170257,0.25,0.2281947261663286,1,1256
alabama-state,0.8333333333333334,18,0.5,3,0.03333333333333333,0.22237665045170257,0.25,0.2281947261663286,1.6153846153846154,0.5769230769230769,0.2692307692307692,0.19395747855277878,0.28,0.1772082878953108,0,1106
north-carolina-greensboro,0.7222222222222222,27,0.5982142857142857,1,0.32142857142857145,0.2783300198807157,0.34615384615384615,0.21510516252390055,0.625,0.47,0.4,0.29197080291970806,0.1,0.2066115702479339,1,1422
tennessee-state,0.5,19,0.3877551020408163,2,0.20408163265306123,0.30172413793103453,0.0967741935483871,0.22209883398112162,2.7777777777777777,0.7155172413793104,0.2413793103448276,0.2042205582028591,0.17391304347826086,0.11737089201877933,0,1398
purdue,2.7777777777777777,28,0.7155172413793104,8,0.2413793103448276,0.2042205582028591,0.17391304347826086,0.11737089201877933,0.5,0.3877551020408163,0.20408163265306123,0.30172413793103453,0.0967741935483871,0.22209883398112162,1,1345
western-illinois,0.2631578947368421,17,0.3360655737704918,4,0.08196721311475409,0.20311442112389982,0.23076923076923078,0.22991287512100678,2.875,0.696969696969697,0.22727272727272727,0.17675050985723997,0.34615384615384615,0.09765625,0,1442
butler,2.875,30,0.696969696969697,9,0.22727272727272727,0.17675050985723997,0.34615384615384615,0.09765625,0.2631578947368421,0.3360655737704918,0.08196721311475409,0.20311442112389982,0.23076923076923078,0.22991287512100678,1,1139
south-carolina-state,1,22,0.44642857142857145,0,0.25,0.3206997084548105,0.18181818181818182,0.14856834143706107,2.111111111111111,0.6574074074074074,0.3333333333333333,0.21978021978021978,0.2903225806451613,0.11811023622047244,0,1354
central-florida,2.111111111111111,27,0.6574074074074074,8,0.3333333333333333,0.21978021978021978,0.2903225806451613,0.11811023622047244,1,0.44642857142857145,0.25,0.3206997084548105,0.18181818181818182,0.14856834143706107,1,1416
charleston-southern,1.0588235294117647,32,0.75,3,0.25862068965517243,0.19310344827586207,0.5454545454545454,0.2028639618138425,1.1,0.4180327868852459,0.11475409836065574,0.24881083058909623,0.15789473684210525,0.13498920086393087,1,1149
cleveland-state,0.6875,12,0.6086956521739131,2,0.13043478260869565,0.2138157894736842,0.21739130434782608,0.24420024420024417,2.1818181818181817,0.5983606557377049,0.13114754098360656,0.16864699118436183,0.5,0.14315460697553356,0,1156
cincinnati,2.1818181818181817,18,0.5983606557377049,5,0.13114754098360656,0.16864699118436183,0.5,0.14315460697553356,0.6875,0.6086956521739131,0.13043478260869565,0.2138157894736842,0.21739130434782608,0.24420024420024417,1,1153
grambling,0.8888888888888888,20,0.45384615384615384,4,0.13846153846153847,0.365296803652968,0.3611111111111111,0.2018842530282638,0.6875,0.49038461538461536,0.4807692307692308,0.24324324324324326,0.3939393939393939,0.1869158878504673,0,1212
east-carolina,0.6875,23,0.49038461538461536,5,0.4807692307692308,0.24324324324324326,0.3939393939393939,0.1869158878504673,0.8888888888888888,0.45384615384615384,0.13846153846153847,0.365296803652968,0.3611111111111111,0.2018842530282638,1,1187
florida-am,1.3846153846153846,19,0.5882352941176471,3,0.17647058823529413,0.27298850574712646,0.08695652173913043,0.1829954954954955,1.9,0.6037735849056604,0.2830188679245283,0.21036814425244177,0.20833333333333334,0.1410039481105471,0,1197
fordham,1.9,21,0.6037735849056604,0,0.2830188679245283,0.21036814425244177,0.20833333333333334,0.1410039481105471,1.3846153846153846,0.5882352941176471,0.17647058823529413,0.27298850574712646,0.08695652173913043,0.1829954954954955,1,1200
bowling-green-state,0.8,42,0.38028169014084506,8,0.38028169014084506,0.2158079309414621,0.21428571428571427,0.1492240350179069,1.25,0.39080459770114945,0.11494252873563218,0.2779262426509888,0.25,0.1122334455667789,1,1132
green-bay,1.25,33,0.39080459770114945,5,0.11494252873563218,0.2779262426509888,0.25,0.1122334455667789,0.8,0.38028169014084506,0.38028169014084506,0.2158079309414621,0.21428571428571427,0.1492240350179069,0,1453
boston-university,0.8,17,0.5333333333333333,1,0.3333333333333333,0.2752293577981651,0.2222222222222222,0.21258503401360543,0.6470588235294118,0.648936170212766,0.2765957446808511,0.2706766917293233,0.2916666666666667,0.23351648351648352,0,1131
harvard,0.6470588235294118,21,0.648936170212766,2,0.2765957446808511,0.2706766917293233,0.2916666666666667,0.23351648351648352,0.8,0.5333333333333333,0.3333333333333333,0.2752293577981651,0.2222222222222222,0.21258503401360543,1,1217
samford,1.8333333333333333,18,0.49230769230769234,2,0.03076923076923077,0.212443095599393,0.20588235294117646,0.08246289169873557,1.8181818181818181,0.5267857142857143,0.21428571428571427,0.15122873345935728,0.3076923076923077,0.14945652173913046,0,1359
